Nível;Indicador;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Unidade
1;Unidades locais;18342;18739;19885;20997;21994;22590;23440;24250;22955;23101;22781;22678;22846;24335;25275;26858;unidades
1.1;Classificação Nacional de Atividades Econômicas - CNAE;;;;;;;;;;;;;;;;;
1.1.1;Administração pública, defesa e seguridade social;;;;;;;;;;;;;;;;;unidades
1.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;;;;;;;;;;;;;;;;;unidades
1.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;;;;;;;;;;;;;;;;unidades
1.1.4;Alojamento e alimentação;;;;;;;;;;;;;;;;;unidades
1.1.5;Artes, cultura, esporte e recreação;;;;;;;;;;;;;;;;;unidades
1.1.6;Atividades administrativas e serviços complementares;;;;;;;;;;;;;;;;;unidades
1.1.7;Atividades financeiras, de seguros e serviços relacionados;;;;;;;;;;;;;;;;;unidades
1.1.8;Atividades imobiliárias;;;;;;;;;;;;;;;;;unidades
1.1.9;Atividades profissionais, científicas e técnicas;;;;;;;;;;;;;;;;;unidades
1.1.10;Comércio; reparação de veículos automotores e motocicletas;;;;;;;;;;;;;;;;;unidades
1.1.11;Construção;;;;;;;;;;;;;;;;;unidades
1.1.12;Educação;;;;;;;;;;;;;;;;;unidades
1.1.13;Eletricidade e gás;;;;;;;;;;;;;;;;;unidades
1.1.14;Indústrias de transformação;;;;;;;;;;;;;;;;;unidades
1.1.15;Indústrias extrativas;;;;;;;;;;;;;;;;;unidades
1.1.16;Informação e comunicação;;;;;;;;;;;;;;;;;unidades
1.1.17;Organismos internacionais e outras instituições extraterritoriais;;;;;;;;;;;;;;;;;unidades
1.1.18;Outras atividades de serviços;;;;;;;;;;;;;;;;;unidades
1.1.19;Saúde humana e serviços sociais;;;;;;;;;;;;;;;;;unidades
1.1.20;Transporte, armazenagem e correio;;;;;;;;;;;;;;;;;unidades
2;Número de empresas e outras organizações atuantes;;;19212;20262;21162;21760;22523;23242;21957;22125;21757;21643;21787;23226;24155;25614;unidades
3;Pessoal ocupado;168192;190723;206431;212834;230897;239174;241007;245177;237488;229885;217903;216458;214943;217547;215862;221421;pessoas
3.1;Classificação Nacional de Atividades Econômicas - CNAE;;;;;;;;;;;;;;;;;
3.1.1;Administração pública, defesa e seguridade social;;;;;;;;;;;;;;;;;pessoas
3.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;;;;;;;;;;;;;;;;;pessoas
3.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;;;;;;;;;;;;;;;;pessoas
3.1.4;Alojamento e alimentação;;;;;;;;;;;;;;;;;pessoas
3.1.5;Artes, cultura, esporte e recreação;;;;;;;;;;;;;;;;;pessoas
3.1.6;Atividades administrativas e serviços complementares;;;;;;;;;;;;;;;;;pessoas
3.1.7;Atividades financeiras, de seguros e serviços relacionados;;;;;;;;;;;;;;;;;pessoas
3.1.8;Atividades imobiliárias;;;;;;;;;;;;;;;;;pessoas
3.1.9;Atividades profissionais, científicas e técnicas;;;;;;;;;;;;;;;;;pessoas
3.1.10;Comércio; reparação de veículos automotores e motocicletas;;;;;;;;;;;;;;;;;pessoas
3.1.11;Construção;;;;;;;;;;;;;;;;;pessoas
3.1.12;Educação;;;;;;;;;;;;;;;;;pessoas
3.1.13;Eletricidade e gás;;;;;;;;;;;;;;;;;pessoas
3.1.14;Indústrias de transformação;;;;;;;;;;;;;;;;;pessoas
3.1.15;Indústrias extrativas;;;;;;;;;;;;;;;;;pessoas
3.1.16;Informação e comunicação;;;;;;;;;;;;;;;;;pessoas
3.1.17;Organismos internacionais e outras instituições extraterritoriais;;;;;;;;;;;;;;;;;pessoas
3.1.18;Outras atividades de serviços;;;;;;;;;;;;;;;;;pessoas
3.1.19;Saúde humana e serviços sociais;;;;;;;;;;;;;;;;;pessoas
3.1.20;Transporte, armazenagem e correio;;;;;;;;;;;;;;;;;pessoas
4;Pessoal ocupado assalariado;145775;166246;180641;185922;202414;207558;208548;212052;205912;197925;186765;185837;183883;185624;182264;187067;pessoas
4.1;Classificação Nacional de Atividades Econômicas - CNAE;;;;;;;;;;;;;;;;;
4.1.1;Administração pública, defesa e seguridade social;;;;;;;;;;;;;;;;;pessoas
4.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;;;;;;;;;;;;;;;;;pessoas
4.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;;;;;;;;;;;;;;;;pessoas
4.1.4;Alojamento e alimentação;;;;;;;;;;;;;;;;;pessoas
4.1.5;Artes, cultura, esporte e recreação;;;;;;;;;;;;;;;;;pessoas
4.1.6;Atividades administrativas e serviços complementares;;;;;;;;;;;;;;;;;pessoas
4.1.7;Atividades financeiras, de seguros e serviços relacionados;;;;;;;;;;;;;;;;;pessoas
4.1.8;Atividades imobiliárias;;;;;;;;;;;;;;;;;pessoas
4.1.9;Atividades profissionais, científicas e técnicas;;;;;;;;;;;;;;;;;pessoas
4.1.10;Comércio; reparação de veículos automotores e motocicletas;;;;;;;;;;;;;;;;;pessoas
4.1.11;Construção;;;;;;;;;;;;;;;;;pessoas
4.1.12;Educação;;;;;;;;;;;;;;;;;pessoas
4.1.13;Eletricidade e gás;;;;;;;;;;;;;;;;;pessoas
4.1.14;Indústrias de transformação;;;;;;;;;;;;;;;;;pessoas
4.1.15;Indústrias extrativas;;;;;;;;;;;;;;;;;pessoas
4.1.16;Informação e comunicação;;;;;;;;;;;;;;;;;pessoas
4.1.17;Organismos internacionais e outras instituições extraterritoriais;;;;;;;;;;;;;;;;;pessoas
4.1.18;Outras atividades de serviços;;;;;;;;;;;;;;;;;pessoas
4.1.19;Saúde humana e serviços sociais;;;;;;;;;;;;;;;;;pessoas
4.1.20;Transporte, armazenagem e correio;;;;;;;;;;;;;;;;;pessoas
5;Salário médio mensal;5,6;5.5;5.0;4.7;4.5;4.5;4.1;4.0;4.0;4.0;3.7;3.7;3.7;3.5;3.3;3.4;salários mínimos
5.1;Classificação Nacional de Atividades Econômicas - CNAE;;;;;;;;;;;;;;;;;
5.1.1;Administração pública, defesa e seguridade social;;;;;;;;;;;;;;;;;salários mínimos
5.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;;;;;;;;;;;;;;;;;salários mínimos
5.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;;;;;;;;;;;;;;;;salários mínimos
5.1.4;Alojamento e alimentação;;;;;;;;;;;;;;;;;salários mínimos
5.1.5;Artes, cultura, esporte e recreação;;;;;;;;;;;;;;;;;salários mínimos
5.1.6;Atividades administrativas e serviços complementares;;;;;;;;;;;;;;;;;salários mínimos
5.1.7;Atividades financeiras, de seguros e serviços relacionados;;;;;;;;;;;;;;;;;salários mínimos
5.1.8;Atividades imobiliárias;;;;;;;;;;;;;;;;;salários mínimos
5.1.9;Atividades profissionais, científicas e técnicas;;;;;;;;;;;;;;;;;salários mínimos
5.1.10;Comércio; reparação de veículos automotores e motocicletas;;;;;;;;;;;;;;;;;salários mínimos
5.1.11;Construção;;;;;;;;;;;;;;;;;salários mínimos
5.1.12;Educação;;;;;;;;;;;;;;;;;salários mínimos
5.1.13;Eletricidade e gás;;;;;;;;;;;;;;;;;salários mínimos
5.1.14;Indústrias de transformação;;;;;;;;;;;;;;;;;salários mínimos
5.1.15;Indústrias extrativas;;;;;;;;;;;;;;;;;salários mínimos
5.1.16;Informação e comunicação;;;;;;;;;;;;;;;;;salários mínimos
5.1.17;Organismos internacionais e outras instituições extraterritoriais;;;;;;;;;;;;;;;;;salários mínimos
5.1.18;Outras atividades de serviços;;;;;;;;;;;;;;;;;salários mínimos
5.1.19;Saúde humana e serviços sociais;;;;;;;;;;;;;;;;;salários mínimos
5.1.20;Transporte, armazenagem e correio;;;;;;;;;;;;;;;;;salários mínimos
6;Salários e outras remunerações;3598869;4352816;4739527;5116976;6065582;6557447;6967893;7479033;7801572;8350422;8287339;8291705;8542235;8591658;8215057;8984802;R$
6.1;Classificação Nacional de Atividades Econômicas - CNAE;;;;;;;;;;;;;;;;;
6.1.1;Administração pública, defesa e seguridade social;;;;;;;;;;;;;;;;;R$
6.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;;;;;;;;;;;;;;;;;R$
6.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;;;;;;;;;;;;;;;;R$
6.1.4;Alojamento e alimentação;;;;;;;;;;;;;;;;;R$
6.1.5;Artes, cultura, esporte e recreação;;;;;;;;;;;;;;;;;R$
6.1.6;Atividades administrativas e serviços complementares;;;;;;;;;;;;;;;;;R$
6.1.7;Atividades financeiras, de seguros e serviços relacionados;;;;;;;;;;;;;;;;;R$
6.1.8;Atividades imobiliárias;;;;;;;;;;;;;;;;;R$
6.1.9;Atividades profissionais, científicas e técnicas;;;;;;;;;;;;;;;;;R$
6.1.10;Comércio; reparação de veículos automotores e motocicletas;;;;;;;;;;;;;;;;;R$
6.1.11;Construção;;;;;;;;;;;;;;;;;R$
6.1.12;Educação;;;;;;;;;;;;;;;;;R$
6.1.13;Eletricidade e gás;;;;;;;;;;;;;;;;;R$
6.1.14;Indústrias de transformação;;;;;;;;;;;;;;;;;R$
6.1.15;Indústrias extrativas;;;;;;;;;;;;;;;;;R$
6.1.16;Informação e comunicação;;;;;;;;;;;;;;;;;R$
6.1.17;Organismos internacionais e outras instituições extraterritoriais;;;;;;;;;;;;;;;;;R$
6.1.18;Outras atividades de serviços;;;;;;;;;;;;;;;;;R$
6.1.19;Saúde humana e serviços sociais;;;;;;;;;;;;;;;;;R$
6.1.20;Transporte, armazenagem e correio;;;;;;;;;;;;;;;;;R$



